arrival_time_us,cpu_burst_duration_us,io_burst_duration_us,nice,weight,scheduling_class,cpu_request
1177813592,5562510,0,19,15,0,0.003433
1178022755,5618032,0,19,15,0,0.006516
1178368748,5512993,0,19,15,0,0.006958
1178553066,2110163,0,19,15,0,0.005989
1178553066,2975459,0,19,15,0,0.031250
1178553066,1322916,0,19,15,0,0.003258
1178555494,3971144,0,19,15,0,0.098999
1178555494,2993003,0,19,15,0,0.004227
1179329794,5990017,0,19,15,0,0.053894
1179329794,5815257,0,19,15,0,0.002026
1179332557,5799787,0,19,15,0,0.028717
1179539472,969818,0,19,15,0,0.005722
1179539473,1024259,0,19,15,0,0.008240
1179726205,1820956,0,19,15,0,0.005638
1179726206,1799551,0,19,15,0,0.032166
1179726206,2549236,0,19,15,0,0.005722
1179726206,1142178,0,19,15,0,0.013733
1179726206,3513213,0,19,15,0,0.211670
1179726206,1800686,0,19,15,0,0.002377
1179726206,1817910,0,19,15,0,0.013474
1179726206,1799355,0,19,15,0,0.009247
1179726207,1109444,0,19,15,0,0.009338
1179726207,2521913,0,19,15,0,0.004051
1179726207,2673750,0,19,15,0,0.002026
1179726207,1795552,0,19,15,0,0.002026
1179726207,1801998,0,19,15,0,0.003696
1179755168,2116741,0,19,15,0,0.032837
1179755168,1771725,0,19,15,0,0.002026
1179755168,1997239,0,19,15,0,0.002201
1179755613,1050011,0,19,15,0,0.009506
1180246116,5614584,0,19,15,0,0.004051
1180466612,1065274,0,19,15,0,0.002731
1180896110,1280440,0,19,15,0,0.003960
1180896111,1436912,0,19,15,0,0.002552
1180953908,3391753,0,19,15,0,0.004227
1180953909,2999749,0,19,15,0,0.008194
1180953909,1654862,0,19,15,0,0.008545
1180954229,2703426,0,19,15,0,0.008194
1180954229,2563030,0,19,15,0,0.009949
1181014060,1228872,0,19,15,0,0.003788
1182220199,5481466,0,19,15,0,0.005020
1182220199,5598165,0,19,15,0,0.005104
1182220199,5586731,0,19,15,0,0.012955
1182220200,5537224,0,19,15,0,0.003433
1182228792,5639939,0,19,15,0,0.000528
1182228792,5481384,0,19,15,0,0.008545
1182228792,5508198,0,19,15,0,0.004578
1182228792,5583951,0,19,15,0,0.003696
1182228792,5597671,0,19,15,0,0.003521
1182236002,5591388,0,19,15,0,0.008194
1182236003,5655449,0,19,15,0,0.008545
1182273695,5497043,0,19,15,0,0.004135
1182273695,5555431,0,19,15,0,0.008102
1182273695,5655545,0,19,15,0,0.003876
1182409610,5506266,0,19,15,0,0.011353
1182426197,1086833,0,19,15,0,0.029144
1182646186,5549112,0,19,15,0,0.003788
1182646187,5556737,0,19,15,0,0.005669
1182654414,1923357,0,19,15,0,0.002026
1182654827,1179880,0,19,15,0,0.105713
1182723347,999800,0,19,15,0,0.005196
1183182009,5499762,0,19,15,0,0.011276
1183182010,5557384,0,19,15,0,0.002377
1183182345,5715643,0,19,15,0,0.002201
1183275641,1224630,0,19,15,0,0.002289
1184130691,1002823,0,19,15,0,0.002113
1184199098,1122119,0,19,15,0,0.011276
1184199098,1118219,0,19,15,0,0.003082
1184199099,1886563,0,19,15,0,0.003609
1184199099,1128131,0,19,15,0,0.004135
1184199099,1121277,0,19,15,0,0.009720
1184199099,1121998,0,19,15,0,0.008102
1184199100,1849193,0,19,15,0,0.025085
1184199100,1917963,0,19,15,0,0.006783
1184199100,1662572,0,19,15,0,0.003082
1184199100,2259682,0,19,15,0,0.007042
1184199101,1527071,0,19,15,0,0.002026
1184541979,1186040,0,19,15,0,0.033875
1184541979,4361178,0,19,15,0,0.033569
1184541979,3662091,0,19,15,0,0.002026
1184638469,52509559,0,19,15,0,0.012421
1184638469,52497379,0,19,15,0,0.008102
1184638469,52459739,0,19,15,0,0.002289
1184641848,52507515,0,19,15,0,0.002377
1184641848,48545792,0,19,15,0,0.012680
1184981435,1000355,0,19,15,0,0.004051
1185766696,1187810,0,19,15,0,0.004227
1185767174,2015883,0,19,15,0,0.004402
1185767175,1979322,0,19,15,0,0.026855
1186704212,1136357,0,19,15,0,0.007484
1186704212,1259416,0,19,15,0,0.016205
1186704212,1191777,0,19,15,0,0.003876
1186704212,1195007,0,19,15,0,0.003433
1186704213,1138779,0,19,15,0,0.000616
1186704213,1042623,0,19,15,0,0.029419
1186704213,1167838,0,19,15,0,0.003696
1186704213,1500078,0,19,15,0,0.008270
1186887498,1010600,0,19,15,0,0.006340
1186962255,1194704,0,19,15,0,0.034363
1186962255,1880322,0,19,15,0,0.005669
1188159940,1850608,0,19,15,0,0.011002
1188467235,48659884,0,19,15,0,0.000705
1190537626,46961583,0,19,15,0,0.001320
1190537626,47691850,0,19,15,0,0.009598
1190537626,46533852,0,19,15,0,0.004051
1190537627,53119613,0,19,15,0,0.021912
1190537627,54687587,0,19,15,0,0.022095
1190537627,15716335,0,19,15,0,0.002201
1190537627,46644133,0,19,15,0,0.008194
1190537627,60215481,0,19,15,0,0.008713
1190537627,46521397,0,19,15,0,0.002289
